scene, id_roundabout, lat, long, height_(meters), with_zoom_height_(meters)
00001, 1, 40.597786, -4.338757, 100, 100
00002, 2, 40.598885, -4.337439, 120, 60
00003, 3, 40.602182, -4.321958, 100, 100
00004, 3, 40.602182, -4.321958, 100, 100
00005, 3, 40.602182, -4.321958, 100, 100
00006, 3, 40.602182, -4.321958, 100, 100
00007, 3, 40.602182, -4.321958, 100, 100
00008, 3, 40.602182, -4.321958, 100, 100
00009, 3, 40.602182, -4.321958, 100, 100
00010, 3, 40.602182, -4.321958, 100, 100
00011, 3, 40.602182, -4.321958, 100, 100
00012, 3, 40.602182, -4.321958, 100, 100
00013, 3, 40.602182, -4.321958, 100, 100
00014, 3, 40.602182, -4.321958, 100, 100
00015, 3, 40.602182, -4.321958, 100, 100
00016, 3, 40.602182, -4.321958, 100, 100
00017, 3, 40.602182, -4.321958, 100, 100
00018, 4, 40.602001, -4.342722, 120, 120
00019, 4, 40.602001, -4.342722, 120, 120
00020, 4, 40.602001, -4.342722, 120, 120
00021, 4, 40.602001, -4.342722, 120, 120
00022, 4, 40.602001, -4.342722, 120, 120
00023, 4, 40.602001, -4.342722, 120, 120
00024, 4, 40.602001, -4.342722, 120, 120
00025, 4, 40.602001, -4.342722, 120, 120
00026, 4, 40.602001, -4.342722, 120, 120
00027, 4, 40.602001, -4.342722, 120, 120
00028, 4, 40.602001, -4.342722, 120, 120
00029, 4, 40.602001, -4.342722, 120, 120
00030, 4, 40.602001, -4.342722, 120, 120
00031, 4, 40.602001, -4.342722, 120, 120
00032, 4, 40.602001, -4.342722, 120, 120
00033, 4, 40.602001, -4.342722, 120, 120
00034, 5, 40.606900, -4.334478, 110, 110
00035, 5, 40.606900, -4.334478, 110, 110
00036, 5, 40.606900, -4.334478, 110, 110
00037, 5, 40.606900, -4.334478, 110, 110
00038, 5, 40.606900, -4.334478, 110, 110
00039, 5, 40.606900, -4.334478, 110, 110
00040, 5, 40.606900, -4.334478, 110, 110
00041, 5, 40.606900, -4.334478, 110, 110
00042, 5, 40.606900, -4.334478, 110, 110
00043, 5, 40.606900, -4.334478, 110, 110
00044, 5, 40.606900, -4.334478, 110, 110
00045, 5, 40.606900, -4.334478, 110, 110
00046, 5, 40.606900, -4.334478, 110, 110
00047, 5, 40.606900, -4.334478, 110, 110
00048, 5, 40.606900, -4.334478, 110, 110
00049, 5, 40.606900, -4.334478, 110, 110
00050, 6, 40.270018, -3.906834, 120, 120
00051, 6, 40.270018, -3.906834, 120, 120
00052, 6, 40.270018, -3.906834, 120, 120
00053, 7, 40.260894, -3.907243, 120, 120
00054, 8, 40.263347, -3.904366, 120, 120